%time,field.O_x,field.O_y,field.O_t,field.I_t,field.G_x,field.G_y
342,2.31388,-0.518405,0.331344,0.23971,2.2425,-0.584246
343,2.31626,-0.517594,0.331344,0.239683,2.2425,-0.584246
344,2.32781,-0.513665,0.331344,0.240041,2.2425,-0.584246
345,2.33365,-0.511679,0.331344,0.240271,2.2425,-0.584246
346,2.33951,-0.509686,0.331344,0.240463,2.2425,-0.584246
347,2.34697,-0.507093,0.331344,0.240072,2.26628,-0.576166
348,2.35183,-0.505408,0.331344,0.239992,2.28182,-0.570886
349,2.37576,-0.497097,0.331344,0.240083,2.28241,-0.570686
350,2.37646,-0.496853,0.331344,0.240023,2.28241,-0.570686
351,2.38969,-0.492176,0.331344,0.2389,2.28241,-0.570686
352,2.39577,-0.490159,0.331344,0.238101,2.28241,-0.570686
353,2.41341,-0.48402,0.32981,0.238381,2.35588,-0.545583
354,2.42281,-0.480698,0.32981,0.239201,2.36404,-0.542796
355,2.42664,-0.479343,0.32981,0.239098,2.36404,-0.542796
356,2.43701,-0.475624,0.32981,0.238324,2.36404,-0.542796
357,2.44274,-0.47358,0.32981,0.237626,2.36404,-0.542796
358,2.45212,-0.470265,0.32981,0.237305,2.36404,-0.542796
359,2.45637,-0.468744,0.329556,0.237267,2.36404,-0.542796
360,2.46498,-0.465654,0.328622,0.236953,2.38419,-0.534349
361,2.48046,-0.460892,0.328276,0.235575,2.39787,-0.528612
362,2.48364,-0.459953,0.328276,0.235246,2.39787,-0.528612
363,2.49647,-0.455351,0.326886,0.234376,2.39787,-0.528612
364,2.49779,-0.454877,0.326742,0.234363,2.39787,-0.528612
365,2.51194,-0.4498,0.326742,0.234367,2.39787,-0.528612
366,2.51521,-0.448898,0.326742,0.234224,2.39787,-0.528612
367,2.52558,-0.44604,0.326742,0.233801,2.39787,-0.528612
368,2.5505,-0.43723,0.325298,0.232342,2.49569,-0.499929
369,2.55204,-0.436686,0.325208,0.232247,2.49569,-0.499929
370,2.56527,-0.43201,0.323674,0.231358,2.49569,-0.499929
371,2.56937,-0.430562,0.323674,0.231126,2.49569,-0.499929
372,2.57851,-0.427331,0.323674,0.231895,2.49569,-0.499929
373,2.583,-0.426088,0.323169,0.232244,2.49569,-0.499929
374,2.59214,-0.423571,0.32214,0.231334,2.49569,-0.499929
375,2.59582,-0.422357,0.322677,0.230018,2.49569,-0.499929
376,2.60263,-0.420093,0.323674,0.22726,2.51599,-0.49373
377,2.61735,-0.414739,0.320675,0.223997,2.52744,-0.490233
378,2.62356,-0.412873,0.319441,0.222752,2.52744,-0.490233
379,2.63316,-0.410057,0.317538,0.22059,2.52744,-0.490233
380,2.63917,-0.40786,0.316314,0.219311,2.52744,-0.490233
381,2.64823,-0.404581,0.31447,0.217585,2.52744,-0.490233
382,2.65435,-0.402818,0.313178,0.216763,2.52744,-0.490233
383,2.66278,-0.400421,0.311402,0.21682,2.52744,-0.490233
384,2.66859,-0.39836,0.310728,0.216936,2.52744,-0.490233
385,2.67601,-0.395744,0.309868,0.216849,2.59046,-0.463125
386,2.68417,-0.392911,0.309868,0.215886,2.64256,-0.440715
387,2.69375,-0.389616,0.309138,0.215677,2.64256,-0.440715
388,2.69837,-0.388047,0.308516,0.215917,2.64256,-0.440715
389,2.69973,-0.387588,0.308334,0.215964,2.64256,-0.440715
390,2.71795,-0.382119,0.308334,0.215686,2.64256,-0.440715
391,2.72384,-0.380349,0.308334,0.215665,2.64256,-0.440715
392,2.73044,-0.378058,0.308334,0.21549,2.64256,-0.440715
393,2.74362,-0.374007,0.307494,0.215293,2.6824,-0.413064
394,2.74979,-0.372311,0.3068,0.215065,2.68267,-0.412875
395,2.75791,-0.369398,0.3068,0.214754,2.68267,-0.412875
396,2.76394,-0.367235,0.3068,0.21471,2.68267,-0.412875
397,2.77252,-0.364784,0.3068,0.21462,2.68267,-0.412875
398,2.77849,-0.363075,0.3068,0.214443,2.68267,-0.412875
399,2.78702,-0.360008,0.305875,0.214215,2.68267,-0.412875
400,2.79826,-0.356677,0.305266,0.214508,2.68267,-0.412875
401,2.79945,-0.356396,0.305266,0.21459,2.68267,-0.412875
402,2.81203,-0.352438,0.306251,0.214777,2.77966,-0.386928
